solver,time (seconds),memory_usage (MB),peak_memory_usage (MB),status,num_vars,num_clauses,satisfied_clauses,satisfaction_ratio,solved,time_budget,threads_used,cnf_file,satisfied_clauses_mean,satisfied_clauses_stdev,time (seconds)__median,time (seconds)__stdev,memory_usage (MB)__median,memory_usage (MB)__stdev,peak_memory_usage (MB)__median,peak_memory_usage (MB)__stdev,satisfaction_ratio__median,satisfaction_ratio__stdev,repetitions
CP-SAT-MAXSAT,3.732337933219969,4011.9375,4749.359375,UNKNOWN,21114,2240429,1739720,0.7394723064198866,False,1.0,4,vlsat2_21114_2240429.cnf,1656735.2,394660.9996480524,3.6286753750173375,0.2294305205974871,4065.703125,120.19458659798676,4819.125,156.55050906863394,0.7765119983717405,0.1761542095947036,5
Gurobi-MAXSAT,1.5350887252017855,2468.475,3138.459375,FEASIBLE,21114,2240429,2239970,0.9997951285222608,False,1.0,4,vlsat2_21114_2240429.cnf,2239970.0,0.0,1.5593775830348022,0.0478536457953041,2468.484375,4.001992301693308,3138.546875,4.251559341693057,0.9997951285222608,0.0,5
CP-SAT-MAXSAT,4.3608705417951565,4206.74375,5528.309375,UNKNOWN,21190,2597791,1574894,0.6412610560279869,False,1.0,4,vlsat2_21190_2597791.cnf,1665862.2,490603.3719657866,4.300019250018522,0.1549200692656109,4277.578125,119.24369189454268,5632.25,206.30343247265665,0.606243535372938,0.1888540579152775,5
Gurobi-MAXSAT,1.628976333187893,2855.85,3593.453125,FEASIBLE,21190,2597791,2597465,0.9998745087653318,False,1.0,4,vlsat2_21190_2597791.cnf,2597465.0,0.0,1.6743984579807147,0.0651711847964897,2848.65625,30.542452125458713,3586.296875,30.31108445470588,0.9998745087653318,0.0,5
CP-SAT-MAXSAT,4.490365083201323,4077.61875,5569.7625,UNKNOWN,21546,2615351,1572125,0.6694586692187778,False,1.0,4,vlsat2_21546_2615351.cnf,1750869.4,420273.80004325754,4.354756582994014,0.3140451273666651,4240.515625,442.0669076396447,5670.421875,287.5763250843564,0.6011143437343591,0.1606949889491917,5
Gurobi-MAXSAT,1.640279566810932,2905.553125,3646.434375,FEASIBLE,21546,2615351,2615085,0.9998982928104104,False,1.0,4,vlsat2_21546_2615351.cnf,2615085.0,0.0,1.6386945000267588,0.0231700084694783,2905.921875,1.8431076741301633,3646.703125,2.276788230915976,0.9998982928104104,0.0,5
CP-SAT-MAXSAT,3.659317100187763,3620.740625,4897.2875,UNKNOWN,21573,2289124,1537311,0.7327686923032566,False,1.0,4,vlsat2_21573_2289124.cnf,1677398.4,318211.76309306984,3.645165291964077,0.0670390358551718,3643.390625,48.952023557270465,4917.109375,43.32036477115872,0.6715717453488758,0.1390102777713526,5
Gurobi-MAXSAT,1.5152335332124494,2532.896875,3212.734375,FEASIBLE,21573,2289124,2288665,0.9997994866158408,False,1.0,4,vlsat2_21573_2289124.cnf,2288665.0,0.0,1.4915502080111764,0.0553475602131159,2532.75,0.5579897302482367,3212.8125,0.7194290270763336,0.9997994866158408,0.0,5
CP-SAT-MAXSAT,4.990186441421974,4569.20625,6051.35,UNKNOWN,22032,3022731,2211621,0.7213259797183408,False,1.0,4,vlsat2_22032_3022731.cnf,2180374.4,393143.5548839635,5.04138408403378,0.095623649930219,4827.796875,442.2175414099536,6366.78125,510.80102207735786,0.7316631880243396,0.1300623690576381,5
Gurobi-MAXSAT,1.6802673166035675,3317.190625,4134.171875,FEASIBLE,22032,3022731,3022272,0.9998481505631828,False,1.0,4,vlsat2_22032_3022731.cnf,3022272.0,0.0,1.6903396249981597,0.0195857691584355,3317.015625,2.141577114899788,4134.0625,2.483023413791642,0.9998481505631828,0.0,5
